연월,가스가격,전기가격,상대가격
2019-03-01,83.24,89.83,92.66
2019-04-01,83.24,89.83,92.66
2019-05-01,83.24,89.83,92.66
2019-06-01,83.24,89.83,92.66
2019-07-01,86.25,75.29,114.56
2019-08-01,86.27,75.29,114.58
2019-09-01,86.25,89.83,96.01
2019-10-01,86.25,89.83,96.01
2019-11-01,86.26,89.83,96.03
2019-12-01,86.26,89.83,96.03
2020-01-01,86.26,89.83,96.03
2020-02-01,86.26,89.83,96.03
2020-03-01,86.26,89.83,96.03
2020-04-01,86.26,89.83,96.03
2020-05-01,86.26,89.83,96.03
2020-06-01,86.26,89.83,96.03
2020-07-01,77.27,75.29,102.63
2020-08-01,77.38,75.29,102.78
2020-09-01,77.38,89.83,86.14
2020-10-01,77.38,89.83,86.14
2020-11-01,77.38,89.83,86.14
2020-12-01,77.38,89.83,86.14
2021-01-01,77.38,87.98,87.95
2021-02-01,77.38,87.98,87.95
2021-03-01,77.38,87.98,87.95
2021-04-01,77.38,87.98,87.95
2021-05-01,77.38,87.98,87.95
2021-06-01,77.38,87.98,87.95
